date,campaign_name,purchases_new
2026-05-02,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,3
2026-05-02,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,2
2026-05-02,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,1
2026-05-02,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,1
2026-05-02,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,5
2026-05-02,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,1
2026-05-02,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,1
2026-05-02,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-05-02,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,null
2026-05-02,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-05-02,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,null
2026-05-02,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,1
2026-05-02,ASUC-(NEW)-PERF-RTG-WARM-ROW,1
2026-05-02,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,null
2026-05-02,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,null
2026-05-02,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,null
2026-05-02,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,null
