date,campaign_name,landing_page_views,initiate_checkout
2026-04-28,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,13,
2026-04-28,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,58,
2026-04-28,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,83,
2026-04-29,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,267,21
2026-04-29,ASUC-(ALL)-PERF-KIDS-INTER,426,12
2026-04-29,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,247,17
2026-04-29,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,49,2
2026-04-29,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,27,
2026-04-29,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,127,
2026-04-29,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,229,
2026-04-29,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,178,14
2026-04-29,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,317,16
2026-04-29,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,110,
2026-04-29,ASUC-(HISTO)-UK-(UK)-PERF-RTG,173,
2026-04-29,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,31,
2026-04-29,ASUC-(HISTO)-US-(US)-PERF-RTG,104,
2026-04-29,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,2,
2026-04-29,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,10,
2026-04-29,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,55,
2026-04-29,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,23,
2026-04-29,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,66,
2026-04-29,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,44,
2026-04-29,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,18,
2026-04-29,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,35,
2026-04-29,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,284,
2026-04-29,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,187,
2026-04-29,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,37,
2026-04-29,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,39,
2026-04-29,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,181,
2026-04-29,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,166,
2026-04-29,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,16,
2026-04-29,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,7,
2026-04-29,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,6,
2026-04-29,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,7,
2026-04-29,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,18,
2026-04-29,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,21,
2026-04-29,ASUC-(NEW)-PERF-RTG-WARM-ROW,151,
2026-04-29,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,23,
2026-04-29,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,29,
2026-04-29,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,15,
2026-04-29,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,14,
2026-04-29,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,7,
2026-04-29,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,5,
2026-04-29,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,114,
2026-04-29,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,99,
2026-04-30,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,265,23
2026-04-30,ASUC-(ALL)-PERF-KIDS-INTER,511,27
2026-04-30,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,242,10
2026-04-30,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,37,
2026-04-30,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,29,
2026-04-30,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,206,
2026-04-30,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,257,
2026-04-30,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,178,12
2026-04-30,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,302,28
2026-04-30,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,155,
2026-04-30,ASUC-(HISTO)-UK-(UK)-PERF-RTG,141,
2026-04-30,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,59,
2026-04-30,ASUC-(HISTO)-US-(US)-PERF-RTG,119,
2026-04-30,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,13,
2026-04-30,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,21,
2026-04-30,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,71,
2026-04-30,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,49,
2026-04-30,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,92,
2026-04-30,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,43,
2026-04-30,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,26,
2026-04-30,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,24,
2026-04-30,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,291,
2026-04-30,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,219,
2026-04-30,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,91,
2026-04-30,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,41,
2026-04-30,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,208,
2026-04-30,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,150,
2026-04-30,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,9,
2026-04-30,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,5,
